"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"jobs","Noun","Plural","Lower","No","No","Yes","24"
"AuthorizationRules","Noun","Plural","Camel","No","No","Yes","24"
"nodes","Noun","Plural","Lower","No","No","Yes","23"
"apis","Noun","Plural","Lower","No","No","Yes","21"
"Microsoft.TimeSeriesInsights","Noun","Plural","Camel","No","No","Yes","21"
"Microsoft.Batch","Noun","Singular","Camel","No","No","Yes","21"
"policies","Noun","Plural","Lower","No","No","Yes","20"
"networkWatchers","Noun","Plural","Camel","No","No","Yes","20"
"endpoints","Noun","Plural","Lower","No","No","Yes","20"
"Microsoft.Devices","Noun","Plural","Camel","No","No","Yes","20"
"loadBalancers","Noun","Plural","Camel","No","No","Yes","19"
"Microsoft.DBforPostgreSQL","Noun","Singular","Camel","No","No","Yes","19"
"Microsoft.DBforMySQL","Noun","Singular","Camel","No","No","Yes","19"
"topics","Noun","Plural","Lower","No","No","Yes","18"
"runbooks","Noun","Plural","Lower","No","No","Yes","18"
"groups","Noun","Plural","Lower","No","No","Yes","18"
"firewallRules","Noun","Plural","Camel","No","No","Yes","18"
"expressRouteCircuits","Noun","Plural","Camel","No","No","Yes","18"
"batchAccounts","Noun","Plural","Camel","No","No","Yes","18"
"Redis","Noun","Plural","Camel","No","No","Yes","18"
"Microsoft.CertificateRegistration","Noun","Singular","Camel","No","No","Yes","18"
"Microsoft.Cache","Noun","Singular","Camel","No","No","Yes","18"
"IotHubs","Noun","Plural","Camel","No","No","Yes","18"
"syncGroups","Verb","Plural","Camel","No","No","Yes","17"
"products","Noun","Plural","Lower","No","No","Yes","17"
"certificates","Noun","Plural","Lower","No","No","Yes","17"
"certificateOrders","Noun","Plural","Camel","No","No","Yes","17"
"Microsoft.DataLakeStore","Noun","Singular","Camel","No","No","Yes","17"
"networkInterfaces","Noun","Plural","Camel","No","No","Yes","16"
"microsoft.visualstudio","Noun","Singular","Lower","No","No","Yes","16"
"machines","Noun","Plural","Lower","No","No","Yes","16"
"listKeys","Verb","Plural","Camel","No","No","Yes","16"
"connections","Noun","Plural","Lower","No","No","Yes","16"
"Microsoft.DomainRegistration","Noun","Singular","Camel","No","No","Yes","16"
"virtualNetworks","Noun","Plural","Camel","No","No","Yes","15"
"sessions","Noun","Plural","Lower","No","No","Yes","15"
"eventhubs","Noun","Plural","Lower","No","No","Yes","15"
"disks","Noun","Plural","Lower","No","No","Yes","14"
"account","Noun","Singular","Lower","No","No","Yes","14"
"configurations","Noun","Plural","Lower","No","No","Yes","13"
"applications","Noun","Plural","Lower","No","No","Yes","13"
"Microsoft.Storage","Noun","Singular","Camel","No","No","Yes","13"
"Microsoft.DocumentDB","Noun","Singular","Camel","No","No","Yes","13"
"volumeContainers","Noun","Plural","Camel","No","No","Yes","12"
"virtualNetworkGateways","Noun","Plural","Camel","No","No","Yes","12"
"exportTasks","Noun","Plural","Camel","No","No","Yes","12"
"draft","Noun","Singular","Lower","No","No","Yes","12"
"campaigns","Noun","Plural","Lower","No","No","Yes","12"
"versions","Noun","Plural","Lower","No","No","Yes","11"
"tenant","Noun","Singular","Lower","No","No","Yes","11"
"skus","Noun","Plural","Lower","No","No","Yes","11"
"routeFilters","Noun","Plural","Camel","No","No","Yes","11"
"roleAssignments","Noun","Plural","Camel","No","No","Yes","11"
"reports","Noun","Plural","Lower","No","No","Yes","11"
"regenerateKeys","Verb","Plural","Camel","No","No","Yes","11"
"notificationHubs","Noun","Plural","Camel","No","No","Yes","11"
"networkSecurityGroups","Noun","Plural","Camel","No","No","Yes","11"
"iosPolicies","Noun","Plural","Camel","No","No","Yes","11"
"gateways","Noun","Plural","Lower","No","No","Yes","11"
"databaseAccounts","Noun","Plural","Camel","No","No","Yes","11"
"checkNameAvailability","Verb","Singular","Camel","No","No","Yes","11"
"Microsoft.ServiceFabric","Noun","Singular","Camel","No","No","Yes","11"
"Microsoft.PowerBI","Noun","Singular","Camel","No","No","Yes","11"
"Microsoft.ImportExport","Noun","Singular","Camel","No","No","Yes","11"
"Microsoft.CognitiveServices","Noun","Plural","Camel","No","No","Yes","11"
"Microsoft.AnalysisServices","Noun","Plural","Camel","No","No","Yes","11"
"wcfRelays","Noun","Plural","Camel","No","No","Yes","10"
"vaults","Noun","Plural","Lower","No","No","Yes","10"
"trafficmanagerprofiles","Noun","Plural","Lower","No","No","Yes","10"
"storageAccounts","Noun","Plural","Camel","No","No","Yes","10"
"routeTables","Noun","Plural","Camel","No","No","Yes","10"
"queues","Noun","Plural","Lower","No","No","Yes","10"
"hybridConnections","Noun","Plural","Camel","No","No","Yes","10"
"extensions","Noun","Plural","Lower","No","No","Yes","10"
"domains","Noun","Plural","Lower","No","No","Yes","10"
"dnsZones","Noun","Plural","Camel","No","No","Yes","10"
"deployments","Noun","Plural","Lower","No","No","Yes","10"
"artifactsources","Noun","Plural","Lower","No","No","Yes","10"
"androidPolicies","Noun","Plural","Camel","No","No","Yes","10"
"Microsoft.Solutions","Noun","Plural","Camel","No","No","Yes","10"
"Microsoft.Search","Noun","Singular","Camel","No","No","Yes","10"
"Microsoft.ContainerRegistry","Noun","Singular","Camel","No","No","Yes","10"
"workspaceCollections","Noun","Plural","Camel","No","No","Yes","9"
"workerPools","Noun","Plural","Camel","No","No","Yes","9"
"virtualNetworkConnections","Noun","Plural","Camel","No","No","Yes","9"
"usages","Noun","Plural","Lower","No","No","Yes","9"
"searchServices","Verb","Plural","Camel","No","No","Yes","9"
"routes","Noun","Plural","Lower","No","No","Yes","9"
"multiRolePools","Noun","Plural","Camel","No","No","Yes","9"
"modules","Noun","Plural","Lower","No","No","Yes","9"
"backupPolicies","Noun","Plural","Camel","No","No","Yes","9"
"advisors","Noun","Plural","Lower","No","No","Yes","9"
"Microsoft.Media","Noun","Singular","Camel","No","No","Yes","9"
"Microsoft.Advisor","Noun","Singular","Camel","No","No","Yes","9"
"webServices","Noun","Plural","Camel","No","No","Yes","8"
"triggers","Verb","Plural","Lower","No","No","Yes","8"
"snapshots","Noun","Plural","Lower","No","No","Yes","8"
"registries","Noun","Plural","Lower","No","No","Yes","8"
"publishers","Verb","Plural","Lower","No","No","Yes","8"
"peerings","Noun","Plural","Lower","No","No","Yes","8"
"metrics","Noun","Plural","Lower","No","No","Yes","8"
"mediaservices","Noun","Plural","Lower","No","No","Yes","8"
"connectors","Noun","Plural","Lower","No","No","Yes","8"
"applicationGateways","Noun","Plural","Camel","No","No","Yes","8"
"StorageAccounts","Noun","Plural","Camel","No","No","Yes","8"
"Microsoft.Resources","Noun","Plural","Camel","No","No","Yes","8"
"Microsoft.MachineLearning","Noun","Singular","Camel","No","No","Yes","8"
"volumes","Noun","Plural","Lower","No","No","Yes","7"
"testJob","Verb","Singular","Camel","No","No","Yes","7"
"syncMembers","Verb","Plural","Camel","No","No","Yes","7"
"stop","Verb","Singular","Lower","No","No","Yes","7"
"start","Verb","Singular","Lower","No","No","Yes","7"
"regenerateKey","Verb","Singular","Camel","No","No","Yes","7"
"pssessions","Noun","Plural","Lower","No","No","Yes","7"
"powerShellConsole","Verb","Singular","Camel","No","No","Yes","7"
"images","Noun","Plural","Lower","No","No","Yes","7"
"functions","Noun","Plural","Lower","No","No","Yes","7"
"failoverGroups","Verb","Plural","Camel","No","No","Yes","7"
"artifacttypes","Noun","Plural","Lower","No","No","Yes","7"
"Microsoft.KeyVault","Noun","Singular","Camel","No","No","Yes","7"
"webtests","Noun","Plural","Lower","No","No","Yes","6"
"webhooks","Noun","Plural","Lower","No","No","Yes","6"
"syncAgents","Verb","Plural","Camel","No","No","Yes","6"
"quotas","Noun","Plural","Lower","No","No","Yes","6"
"policysets","Noun","Plural","Lower","No","No","Yes","6"
"packetCaptures","Noun","Plural","Camel","No","No","Yes","6"
"outputs","Noun","Plural","Lower","No","No","Yes","6"
"notificationchannels","Noun","Plural","Lower","No","No","Yes","6"
"metricdefinitions","Noun","Plural","Lower","No","No","Yes","6"
"machineGroups","Noun","Plural","Camel","No","No","Yes","6"
"inputs","Noun","Plural","Lower","No","No","Yes","6"
"customDomains","Noun","Plural","Camel","No","No","Yes","6"
"containerGroups","Noun","Plural","Camel","No","No","Yes","6"
"components","Noun","Plural","Lower","No","No","Yes","6"
"appliances","Noun","Plural","Lower","No","No","Yes","6"
"activityLogAlerts","Noun","Plural","Camel","No","No","Yes","6"
"actionGroups","Noun","Plural","Camel","No","No","Yes","6"
"Subscriptions","Noun","Plural","Camel","No","No","Yes","6"
"Microsoft.RecoveryServices","Noun","Plural","Camel","No","No","Yes","6"
"Microsoft.ContainerInstance","Noun","Singular","Camel","No","No","Yes","6"
"Microsoft.Billing","Noun","Singular","Camel","No","No","Yes","6"
"virtualnetworks","Noun","Plural","Lower","No","No","Yes","5"
"variables","Noun","Plural","Lower","No","No","Yes","5"
"trustedIdProviders","Noun","Plural","Camel","No","No","Yes","5"
"test","Verb","Singular","Lower","No","No","Yes","5"
"templates","Noun","Plural","Lower","No","No","Yes","5"
"tagNames","Noun","Plural","Camel","No","No","Yes","5"
"suspend","Verb","Singular","Lower","No","No","Yes","5"
"streams","Noun","Plural","Lower","No","No","Yes","5"
"schemas","Noun","Plural","Lower","No","No","Yes","5"
"runs","Noun","Plural","Lower","No","No","Yes","5"
"routeFilterRules","Noun","Plural","Camel","No","No","Yes","5"
"referenceDataSets","Noun","Plural","Camel","No","No","Yes","5"
"recommendations","Noun","Plural","Lower","No","No","Yes","5"
"publicIPAddresses","Noun","Plural","Camel","No","No","Yes","5"
"properties","Noun","Plural","Lower","No","No","Yes","5"
"project","Noun","Singular","Lower","No","No","Yes","5"
"processes","Noun","Plural","Lower","No","No","Yes","5"
"ports","Noun","Plural","Lower","No","No","Yes","5"
"policyassignments","Noun","Plural","Lower","No","No","Yes","5"
"openidConnectProviders","Noun","Plural","Camel","No","No","Yes","5"
"loggers","Noun","Plural","Lower","No","No","Yes","5"
"kpi","Noun","Singular","Lower","No","No","Yes","5"
"identityProviders","Noun","Plural","Camel","No","No","Yes","5"
"extension","Noun","Singular","Lower","No","No","Yes","5"
"eventSources","Noun","Plural","Camel","No","No","Yes","5"
"domainOwnershipIdentifiers","Noun","Plural","Camel","No","No","Yes","5"
"credentials","Noun","Plural","Lower","No","No","Yes","5"
"content","Noun","Singular","Lower","No","No","Yes","5"
"containerServices","Noun","Plural","Camel","No","No","Yes","5"
"computePolicies","Noun","Plural","Camel","No","No","Yes","5"
"backends","Noun","Plural","Lower","No","No","Yes","5"
"availabilitySets","Noun","Plural","Camel","No","No","Yes","5"
"authorizationServers","Noun","Plural","Camel","No","No","Yes","5"
"authorizationPolicies","Noun","Plural","Camel","No","No","Yes","5"
"accessPolicies","Noun","Plural","Camel","No","No","Yes","5"
"Microsoft.ResourceHealth","Noun","Singular","Camel","No","No","Yes","5"
"Microsoft.ContainerService","Noun","Singular","Camel","No","No","Yes","5"
"vmimage","Noun","Singular","Lower","No","No","Yes","4"
"virtualNetworkRules","Noun","Plural","Camel","No","No","Yes","4"
"virtualNetworkPeerings","Noun","Plural","Camel","No","No","Yes","4"
"views","Noun","Plural","Lower","No","No","Yes","4"
"vaultExtendedInfo","Noun","Singular","Camel","No","No","Yes","4"
"types","Noun","Plural","Lower","No","No","Yes","4"
"suppressions","Noun","Plural","Lower","No","No","Yes","4"
"subnets","Noun","Plural","Lower","No","No","Yes","4"
"storageAccountCredentials","Noun","Plural","Camel","No","No","Yes","4"
"servicerunners","Noun","Plural","Lower","No","No","Yes","4"
"securityRules","Noun","Plural","Camel","No","No","Yes","4"
"secrets","Noun","Plural","Lower","No","No","Yes","4"
"rules","Noun","Plural","Lower","No","No","Yes","4"
"roleDefinitions","Noun","Plural","Camel","No","No","Yes","4"
"resume","Verb","Singular","Lower","No","No","Yes","4"
"relays","Noun","Plural","Lower","No","No","Yes","4"
"relationships","Noun","Plural","Lower","No","No","Yes","4"
"relationshipLinks","Noun","Plural","Camel","No","No","Yes","4"
"regenerateSecondaryKey","Verb","Singular","Camel","No","No","Yes","4"
"regeneratePrimaryKey","Verb","Singular","Camel","No","No","Yes","4"
"policydefinitions","Noun","Plural","Lower","No","No","Yes","4"
"partners","Noun","Plural","Lower","No","No","Yes","4"
"offers","Noun","Plural","Lower","No","No","Yes","4"
"nodeConfigurations","Noun","Plural","Camel","No","No","Yes","4"
"metricsDefinitions","Noun","Plural","Camel","No","No","Yes","4"
"maps","Noun","Plural","Lower","No","No","Yes","4"
"mappings","Noun","Plural","Lower","No","No","Yes","4"
"localNetworkGateways","Noun","Plural","Camel","No","No","Yes","4"
"links","Noun","Plural","Lower","No","No","Yes","4"
"linkedServices","Noun","Plural","Camel","No","No","Yes","4"
"linkedServers","Noun","Plural","Camel","No","No","Yes","4"
"keys","Noun","Plural","Lower","No","No","Yes","4"
"jobSchedules","Noun","Plural","Camel","No","No","Yes","4"
"interactions","Noun","Plural","Lower","No","No","Yes","4"
"instances","Noun","Plural","Lower","No","No","Yes","4"
"inboundNatRules","Noun","Plural","Camel","No","No","Yes","4"
"hybridRunbookWorkerGroups","Noun","Plural","Camel","No","No","Yes","4"
"hybridConnectionNamespaces","Noun","Plural","Camel","No","No","Yes","4"
"formulas","Noun","Plural","Lower","No","No","Yes","4"
"extendedInformation","Noun","Singular","Camel","No","No","Yes","4"
"eventHubEndpoints","Noun","Plural","Camel","No","No","Yes","4"
"dataSources","Noun","Plural","Camel","No","No","Yes","4"
"customimages","Noun","Plural","Lower","No","No","Yes","4"
"consumergroups","Noun","Plural","Lower","No","No","Yes","4"
"connectionTypes","Noun","Plural","Camel","No","No","Yes","4"
"compilationjobs","Noun","Plural","Lower","No","No","Yes","4"
"clusterVersions","Noun","Plural","Camel","No","No","Yes","4"
"cancel","Verb","Singular","Lower","No","No","Yes","4"
"bandwidthSettings","Noun","Plural","Camel","No","No","Yes","4"
"backups","Noun","Plural","Lower","No","No","Yes","4"
"availabilityStatuses","Noun","Plural","Camel","No","No","Yes","4"
"authorizations","Noun","Plural","Lower","No","No","Yes","4"
"applianceDefinitions","Noun","Plural","Camel","No","No","Yes","4"
"agreements","Noun","Plural","Lower","No","No","Yes","4"
"accessControlRecords","Noun","Plural","Camel","No","No","Yes","4"
"Microsoft.Features","Noun","Plural","Camel","No","No","Yes","4"
"DataLakeStoreAccounts","Noun","Plural","Camel","No","No","Yes","4"
"ConsumerGroups","Noun","Plural","Camel","No","No","Yes","4"
"vmextension","Noun","Singular","Lower","No","No","Yes","3"
"vmSizes","Noun","Plural","Camel","No","No","Yes","3"
"validate","Verb","Singular","Lower","No","No","Yes","3"
"transformations","Noun","Plural","Lower","No","No","Yes","3"
"topLevelDomains","Noun","Plural","Camel","No","No","Yes","3"
"sites","Noun","Plural","Lower","No","No","Yes","3"
"sharedkey","Noun","Singular","Lower","No","No","Yes","3"
"securitySettings","Noun","Plural","Camel","No","No","Yes","3"
"scriptExecutionHistory","Noun","Singular","Camel","No","No","Yes","3"
"restart","Verb","Singular","Lower","No","No","Yes","3"
"resources","Noun","Plural","Lower","No","No","Yes","3"
"recommendedActions","Noun","Plural","Camel","No","No","Yes","3"
"publicipaddresses","Noun","Plural","Lower","No","No","Yes","3"
"patchSchedules","Noun","Plural","Camel","No","No","Yes","3"
"origins","Noun","Plural","Lower","No","No","Yes","3"
"moveResources","Verb","Plural","Camel","No","No","Yes","3"
"microsoft.Compute","Noun","Singular","Camel","No","No","Yes","3"
"liveness","Noun","Plural","Lower","No","No","Yes","3"
"listCallbackUrl","Verb","Singular","Camel","No","No","Yes","3"
"invoices","Noun","Plural","Lower","No","No","Yes","3"
"intelligencePacks","Noun","Plural","Camel","No","No","Yes","3"
"importTasks","Verb","Plural","Camel","No","No","Yes","3"
"histories","Noun","Plural","Lower","No","No","Yes","3"
"git","Noun","Singular","Lower","No","No","Yes","3"
"flaggedUsers","Noun","Plural","Camel","No","No","Yes","3"
"fields","Noun","Plural","Lower","No","No","Yes","3"
"execute","Verb","Singular","Lower","No","No","Yes","3"
"encryptionProtector","Verb","Singular","Camel","No","No","Yes","3"
"deletedVaults","Noun","Plural","Camel","No","No","Yes","3"
"deallocate","Verb","Singular","Lower","No","No","Yes","3"
"clientGroups","Noun","Plural","Camel","No","No","Yes","3"
"checkResourceUsage","Verb","Singular","Camel","No","No","Yes","3"
"artifacts","Noun","Plural","Lower","No","No","Yes","3"
"applicationGatewayAvailableSslOptions","Noun","Plural","Camel","No","No","Yes","3"
"activities","Noun","Plural","Lower","No","No","Yes","3"
"ListKeys","Verb","Plural","Camel","No","No","Yes","3"
"Containers","Noun","Plural","Camel","No","No","Yes","3"
"CheckNameAvailability","Verb","Singular","Camel","No","No","Yes","3"
"widgetTypes","Noun","Plural","Camel","No","No","Yes","2"
"vaultstorageconfig","Noun","Singular","Lower","No","No","Yes","2"
"vaultconfig","Noun","Singular","Lower","No","No","Yes","2"
"timeSettings","Noun","Plural","Camel","No","No","Yes","2"
"tagValues","Noun","Plural","Camel","No","No","Yes","2"
"tag","Verb","Singular","Lower","No","No","Yes","2"
"stats","Noun","Plural","Lower","No","No","Yes","2"
"statistics","Noun","Plural","Lower","No","No","Yes","2"
"scriptActions","Noun","Plural","Camel","No","No","Yes","2"
"runCommands","Verb","Plural","Camel","No","No","Yes","2"
"roles","Noun","Plural","Lower","No","No","Yes","2"
"restore","Verb","Singular","Lower","No","No","Yes","2"
"reset","Verb","Singular","Lower","No","No","Yes","2"
"reimageall","Verb","Singular","Lower","No","No","Yes","2"
"reimage","Verb","Singular","Lower","No","No","Yes","2"
"register","Verb","Singular","Lower","No","No","Yes","2"
"regions","Noun","Plural","Lower","No","No","Yes","2"
"reboot","Verb","Singular","Lower","No","No","Yes","2"
"purge","Verb","Singular","Lower","No","No","Yes","2"
"providerOperations","Noun","Plural","Camel","No","No","Yes","2"
"probes","Noun","Plural","Lower","No","No","Yes","2"
"predefinedPolicies","Noun","Plural","Camel","No","No","Yes","2"
"poweroff","Verb","Singular","Lower","No","No","Yes","2"
"permissions","Noun","Plural","Lower","No","No","Yes","2"
"objectDataTypes","Noun","Plural","Camel","No","No","Yes","2"
"networkstatus","Noun","Plural","Lower","No","No","Yes","2"
"networkSettings","Noun","Plural","Camel","No","No","Yes","2"
"logs","Noun","Plural","Lower","No","No","Yes","2"
"logFiles","Noun","Plural","Camel","No","No","Yes","2"
"loadBalancingRules","Verb","Plural","Camel","No","No","Yes","2"
"listkeys","Verb","Plural","Lower","No","No","Yes","2"
"ipconfigurations","Noun","Plural","Lower","No","No","Yes","2"
"ipConfigurations","Noun","Plural","Camel","No","No","Yes","2"
"instanceView","Noun","Singular","Camel","No","No","Yes","2"
"hardwareComponentGroups","Noun","Plural","Camel","No","No","Yes","2"
"generateRecommendations","Verb","Plural","Camel","No","No","Yes","2"
"frontendIPConfigurations","Noun","Plural","Camel","No","No","Yes","2"
"failover","Verb","Singular","Lower","No","No","Yes","2"
"exportTemplate","Verb","Singular","Camel","No","No","Yes","2"
"endGetAccess","Verb","Singular","Camel","No","No","Yes","2"
"diagnostics","Noun","Plural","Lower","No","No","Yes","2"
"defaultSecurityRules","Noun","Plural","Camel","No","No","Yes","2"
"costs","Noun","Plural","Lower","No","No","Yes","2"
"capacities","Noun","Plural","Lower","No","No","Yes","2"
"capabilities","Noun","Plural","Lower","No","No","Yes","2"
"billingPeriods","Noun","Plural","Camel","No","No","Yes","2"
"beginGetAccess","Verb","Singular","Camel","No","No","Yes","2"
"backupstorageconfig","Noun","Singular","Lower","No","No","Yes","2"
"backupconfig","Noun","Singular","Lower","No","No","Yes","2"
"backupJobs","Noun","Plural","Camel","No","No","Yes","2"
"backup","Verb","Singular","Lower","No","No","Yes","2"
"backendAddressPools","Noun","Plural","Camel","No","No","Yes","2"
"armtemplates","Noun","Plural","Lower","No","No","Yes","2"
"alertSettings","Noun","Plural","Camel","No","No","Yes","2"
"agentRegistrationInformation","Noun","Singular","Camel","No","No","Yes","2"
"activate","Verb","Singular","Lower","No","No","Yes","2"
"actions","Noun","Plural","Lower","No","No","Yes","2"
"Microsoft.Consumption","Noun","Singular","Camel","No","No","Yes","2"
"Microsoft.Commerce","Noun","Singular","Camel","No","No","Yes","2"
"workers","Noun","Plural","Lower","No","No","Yes","1"
"wipe","Verb","Singular","Lower","No","No","Yes","1"
"virtualip","Noun","Singular","Lower","No","No","Yes","1"
"virtualNetworkAvailableEndpointServices","Noun","Plural","Camel","No","No","Yes","1"
"verifyDomainOwnership","Verb","Singular","Camel","No","No","Yes","1"
"validateMoveResources","Verb","Plural","Camel","No","No","Yes","1"
"validateCustomDomain","Verb","Singular","Camel","No","No","Yes","1"
"validateCertificateRegistrationInformation","Verb","Singular","Camel","No","No","Yes","1"
"usageDetails","Noun","Plural","Camel","No","No","Yes","1"
"upgradetolatest","Verb","Singular","Lower","No","No","Yes","1"
"updateSummary","Verb","Singular","Camel","No","No","Yes","1"
"unregister","Verb","Singular","Lower","No","No","Yes","1"
"undoEdit","Verb","Singular","Camel","No","No","Yes","1"
"troubleshoot","Verb","Singular","Lower","No","No","Yes","1"
"triggerSync","Verb","Singular","Camel","No","No","Yes","1"
"trafficManagerGeographicHierarchies","Noun","Plural","Camel","No","No","Yes","1"
"topology","Noun","Singular","Lower","No","No","Yes","1"
"tokens","Noun","Plural","Lower","No","No","Yes","1"
"token","Noun","Singular","Lower","No","No","Yes","1"
"tags","Noun","Plural","Lower","No","No","Yes","1"
"tab","Verb","Singular","Lower","No","No","Yes","1"
"syncStorageKeys","Verb","Plural","Camel","No","No","Yes","1"
"syncState","Noun","Singular","Camel","No","No","Yes","1"
"syncRemoteManagementCertificate","Verb","Singular","Camel","No","No","Yes","1"
"syncDatabaseIds","Verb","Plural","Camel","No","No","Yes","1"
"syncAutoStorageKeys","Verb","Plural","Camel","No","No","Yes","1"
"supportedPlatforms","Noun","Plural","Camel","No","No","Yes","1"
"summaries","Noun","Plural","Lower","No","No","Yes","1"
"suggestRelationshipLinks","Verb","Plural","Camel","No","No","Yes","1"
"subscribe","Verb","Singular","Lower","No","No","Yes","1"
"subContainers","Noun","Plural","Camel","No","No","Yes","1"
"statuses","Noun","Plural","Lower","No","No","Yes","1"
"status","Noun","Plural","Lower","No","No","Yes","1"
"sku","Noun","Singular","Lower","No","No","Yes","1"
"sharedKeys","Noun","Plural","Camel","No","No","Yes","1"
"sendTestAlertEmail","Verb","Singular","Camel","No","No","Yes","1"
"securityGroupView","Noun","Singular","Camel","No","No","Yes","1"
"scanForUpdates","Verb","Plural","Camel","No","No","Yes","1"
"save","Verb","Singular","Lower","No","No","Yes","1"
"runbookContent","Noun","Singular","Camel","No","No","Yes","1"
"runCommand","Verb","Singular","Camel","No","No","Yes","1"
"run","Verb","Singular","Lower","No","No","Yes","1"
"routeTablesSummary","Noun","Singular","Camel","No","No","Yes","1"
"retrieveSiteSeal","Verb","Singular","Camel","No","No","Yes","1"
"retrieveEmailHistory","Verb","Singular","Camel","No","No","Yes","1"
"retrieveCertificateActions","Verb","Plural","Camel","No","No","Yes","1"
"retarget","Verb","Singular","Lower","No","No","Yes","1"
"resubmit","Verb","Singular","Lower","No","No","Yes","1"
"restartSites","Verb","Plural","Camel","No","No","Yes","1"
"resize","Verb","Singular","Lower","No","No","Yes","1"
"resendRequestEmails","Verb","Plural","Camel","No","No","Yes","1"
"resendEmail","Verb","Singular","Camel","No","No","Yes","1"
"reprocess","Verb","Plural","Lower","No","No","Yes","1"
"renew","Verb","Singular","Lower","No","No","Yes","1"
"reissue","Verb","Singular","Lower","No","No","Yes","1"
"regenerateprofile","Verb","Singular","Lower","No","No","Yes","1"
"regenerateCredential","Verb","Singular","Camel","No","No","Yes","1"
"regenerateAdminKey","Verb","Singular","Camel","No","No","Yes","1"
"regenerateActivationKey","Verb","Singular","Camel","No","No","Yes","1"
"regenerateAccessKey","Verb","Singular","Camel","No","No","Yes","1"
"refreshSchema","Verb","Singular","Camel","No","No","Yes","1"
